channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
P-1,SMAP,Autoencoder,0.05714285714285714,0.010652463382157125,0.017957351290684626,0.017023471756512767,0.9893475366178429,7622,132,743,8
S-1,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,6883,0,448,0
E-1,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,8008,0,508,0
E-2,SMAP,Autoencoder,1.0,0.04864091559370529,0.0927694406548431,0.0,0.9513590844062947,7134,0,1330,68
E-3,SMAP,Autoencoder,1.0,0.20230314347961406,0.3365260160497023,0.0,0.7976968565203859,5094,0,2563,650
E-4,SMAP,Autoencoder,0.0,0.0,0.0,0.0009022013713460845,1.0,5537,5,2812,0
E-5,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,7973,0,321,0
E-6,SMAP,Autoencoder,1.0,0.18181818181818182,0.3076923076923077,0.0,0.8181818181818182,8234,0,54,12
E-7,SMAP,Autoencoder,1.0,0.010676156583629894,0.02112676056338028,0.0,0.9893238434163701,8029,0,278,3
E-8,SMAP,Autoencoder,1.0,0.1781701444622793,0.3024523160762943,0.0,0.8218298555377207,7909,0,512,111
E-9,SMAP,Autoencoder,1.0,0.002849002849002849,0.005681818181818182,0.0,0.9971509971509972,7951,0,350,1
E-10,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,8183,0,322,0
E-11,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,8219,0,295,0
E-12,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,7929,0,583,0
E-13,SMAP,Autoencoder,0.040268456375838924,0.022727272727272728,0.029055690072639227,0.01707258834765998,0.9772727272727273,8233,143,258,6
A-1,SMAP,Autoencoder,0.009837962962962963,1.0,0.019484240687679084,1.0,0.0,0,8555,0,85
D-1,SMAP,Autoencoder,0.9994391475042064,0.5467934949370973,0.706862356207854,0.00019047619047619048,0.4532065050629027,5249,1,1477,1782
P-2,SMAP,Autoencoder,0.6759259259259259,0.28605015673981193,0.40198237885462557,0.025241598153757393,0.7139498432601881,6758,175,911,365
P-3,SMAP,Autoencoder,1.0,0.16991017964071856,0.290467050543826,0.0,0.8300898203592815,7157,0,1109,227
D-2,SMAP,Autoencoder,1.0,0.9020862968231389,0.948522996385392,0.0,0.09791370317686107,4377,0,413,3805
D-3,SMAP,Autoencoder,0.8305744888023369,0.2603785103785104,0.39646758075761096,0.03243847874720358,0.7396214896214897,5190,174,2423,853
D-4,SMAP,Autoencoder,1.0,0.28417487684729065,0.442579717094222,0.0,0.7158251231527094,5225,0,2325,923
A-2,SMAP,Autoencoder,0.0,0.0,0.0,0.0015378700499807767,1.0,7791,12,111,0
A-3,SMAP,Autoencoder,0.008064516129032258,0.010752688172043012,0.009216589861751152,0.0306771417882529,0.989247311827957,7773,246,184,2
A-4,SMAP,Autoencoder,0.0,0.0,0.0,0.01643869996235412,1.0,7838,131,111,0
G-1,SMAP,Autoencoder,0.0,0.0,0.0,0.007546717776712985,1.0,8285,63,121,0
G-2,SMAP,Autoencoder,1.0,0.024390243902439025,0.047619047619047616,0.0,0.975609756097561,7320,0,40,1
D-5,SMAP,Autoencoder,0.006685894074462507,1.0,0.01328297955462951,1.0,0.0,0,7577,0,51
D-6,SMAP,Autoencoder,0.010273972602739725,1.0,0.020338983050847456,1.0,0.0,0,7803,0,81
D-7,SMAP,Autoencoder,1.0,0.3234641006661732,0.4888143176733781,0.0,0.6765358993338267,4940,0,1828,874
F-1,SMAP,Autoencoder,0.04,0.019801980198019802,0.026490066225165563,0.005658375574678769,0.9801980198019802,8435,48,99,2
P-4,SMAP,Autoencoder,1.0,0.033860045146726865,0.06550218340611354,0.0,0.9661399548532731,7340,0,428,15
G-3,SMAP,Autoencoder,1.0,0.0196078431372549,0.038461538461538464,0.0,0.9803921568627451,7856,0,50,1
T-1,SMAP,Autoencoder,0.05128205128205128,0.0013020833333333333,0.0025396825396825397,0.005228942905596382,0.9986979166666666,7039,37,1534,2
T-2,SMAP,Autoencoder,0.1276595744680851,0.0033613445378151263,0.006550218340611353,0.005994152046783626,0.9966386554621849,6799,41,1779,6
D-8,SMAP,Autoencoder,1.0,0.0196078431372549,0.038461538461538464,0.0,0.9803921568627451,7823,0,50,1
D-9,SMAP,Autoencoder,1.0,0.7906574394463668,0.8830917874396135,0.0,0.2093425605536332,6250,0,242,914
F-2,SMAP,Autoencoder,1.0,0.00439634764964491,0.008754208754208754,0.0,0.9956036523503551,5669,0,2944,13
G-4,SMAP,Autoencoder,1.0,0.06451612903225806,0.12121212121212122,0.0,0.9354838709677419,7601,0,29,2
T-3,SMAP,Autoencoder,0.004750593824228029,0.010869565217391304,0.006611570247933884,0.04991066110780226,0.9891304347826086,7976,419,182,2
D-11,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,7370,0,61,0
D-12,SMAP,Autoencoder,1.0,0.2156934306569343,0.354848393875713,0.0,0.7843065693430656,5178,0,2149,591
B-1,SMAP,Autoencoder,0.01820020222446916,0.7605633802816901,0.03554970375246873,0.36535808353192023,0.23943661971830985,5060,2913,17,54
G-6,SMAP,Autoencoder,0.21052631578947367,0.4752475247524752,0.2917933130699088,0.021079751727368545,0.5247524752475248,8359,180,53,48
G-7,SMAP,Autoencoder,1.0,0.04477611940298507,0.08571428571428572,0.0,0.9552238805970149,7761,0,256,12
P-7,SMAP,Autoencoder,0.35714285714285715,0.0514839491217444,0.08999470619375331,0.02383177570093458,0.9485160508782556,6267,153,1566,85
R-1,SMAP,Autoencoder,0.011181667586968525,1.0,0.0221160409556314,1.0,0.0,0,7163,0,81
A-5,SMAP,Autoencoder,0.016196013289036543,0.7647058823529411,0.03172021146807645,0.510340370529944,0.23529411764705882,2273,2369,12,39
A-6,SMAP,Autoencoder,1.0,0.5853658536585366,0.7384615384615385,0.0,0.4146341463414634,4412,0,17,24
A-7,SMAP,Autoencoder,0.0,0.0,0.0,0.010754414125200642,1.0,6163,67,2401,0
D-13,SMAP,Autoencoder,0.020933977455716585,0.32298136645962733,0.03931947069943289,0.3241802186083711,0.6770186335403726,5070,2432,109,52
A-8,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,4569,0,3806,0
A-9,SMAP,Autoencoder,0.0,0.0,0.0,0.0,1.0,4569,0,3865,0
F-3,SMAP,Autoencoder,0.0,0.0,0.0,0.010437912417516496,1.0,8248,87,41,0
M-6,MSL,Autoencoder,0.17420596727622714,1.0,0.2967213114754098,0.4593147751605996,0.0,1010,858,0,181
M-1,MSL,Autoencoder,0.0,0.0,0.0,0.0,1.0,1136,0,1141,0
M-2,MSL,Autoencoder,0.9786259541984733,0.5617879053461875,0.7138084632516704,0.01232394366197183,0.43821209465381245,1122,14,500,641
S-2,MSL,Autoencoder,1.0,0.2727272727272727,0.42857142857142855,0.0,0.7272727272727273,1816,0,8,3
P-10,MSL,Autoencoder,0.046176046176046176,0.24427480916030533,0.07766990291262135,0.1107388172223153,0.7557251908396947,5308,661,99,32
T-4,MSL,Autoencoder,1.0,0.057971014492753624,0.1095890410958904,0.0,0.9420289855072463,2148,0,65,4
T-5,MSL,Autoencoder,1.0,0.15384615384615385,0.26666666666666666,0.0,0.8461538461538461,2192,0,22,4
F-7,MSL,Autoencoder,0.0,0.0,0.0,0.0,1.0,4631,0,423,0
M-3,MSL,Autoencoder,0.31958762886597936,0.12350597609561753,0.1781609195402299,0.035181236673773986,0.8764940239043825,1810,66,220,31
M-4,MSL,Autoencoder,0.0,0.0,0.0,0.02182428651371013,1.0,1748,39,251,0
M-5,MSL,Autoencoder,1.0,0.11627906976744186,0.20833333333333334,0.0,0.8837209302325582,2002,0,266,35
P-15,MSL,Autoencoder,0.009595613433858808,0.6666666666666666,0.01891891891891892,0.5097001763668431,0.3333333333333333,1390,1445,7,14
C-1,MSL,Autoencoder,0.0,0.0,0.0,0.00665983606557377,1.0,1939,13,312,0
C-2,MSL,Autoencoder,0.46,0.1678832116788321,0.24598930481283424,0.014106583072100314,0.8321167883211679,1887,27,114,23
T-12,MSL,Autoencoder,0.0,0.0,0.0,0.00519705500216544,1.0,2297,12,121,0
