Channel,Time Steps,Features,Status
E-13,2880,25,Variable
B-1,2435,25,Constant
T-9,439,55,Variable
D-7,2583,25,Constant
E-11,2880,25,Variable
D-2,2880,25,Constant
P-14,2880,55,Variable
E-3,2880,25,Variable
E-7,2769,25,Variable
P-7,2853,25,Variable
D-8,2602,25,Constant
D-15,2074,55,Variable
D-13,1490,25,Constant
G-3,2624,25,Variable
C-2,764,55,Constant
D-9,2583,25,Constant
F-7,2511,55,Variable
E-10,2880,25,Variable
E-1,2880,25,Variable
T-4,2272,55,Variable
D-16,1451,55,Variable
M-4,2076,55,Variable
G-1,2820,25,Variable
D-12,312,25,Constant
E-8,2880,25,Variable
A-3,2736,25,Variable
D-6,2594,25,Variable
T-3,2876,25,Variable
E-9,2880,25,Variable
A-9,762,25,Variable
G-6,2881,25,Variable
D-4,2833,25,Variable
M-5,2032,55,Variable
P-4,2609,25,Constant
C-1,2158,55,Variable
P-3,2855,25,Variable
M-6,1565,55,Constant
D-3,2880,25,Variable
G-2,2478,25,Constant
A-8,762,25,Variable
M-7,1587,55,Variable
T-13,1145,55,Variable
P-15,3682,55,Variable
P-1,2872,25,Variable
A-1,2880,25,Variable
S-2,926,55,Constant
E-2,2880,25,Variable
M-3,2037,55,Variable
E-5,2880,25,Variable
T-8,748,55,Variable
P-10,4308,55,Variable
A-7,2879,25,Variable
M-2,2208,55,Variable
F-3,2880,25,Variable
P-11,3969,55,Variable
A-5,705,25,Variable
F-2,2861,25,Variable
F-5,2598,55,Variable
S-1,2818,25,Variable
F-4,2244,55,Variable
E-4,2880,25,Variable
A-4,2690,25,Variable
D-14,3675,55,Constant
T-1,2875,25,Variable
P-2,2821,25,Variable
M-1,2209,55,Variable
E-6,2880,25,Variable
T-2,2855,25,Variable
D-5,2561,25,Variable
R-1,2874,25,Variable
F-8,3342,55,Variable
G-4,2551,25,Variable
T-10,425,55,Variable
T-12,1145,55,Variable
A-6,682,25,Variable
T-5,2272,55,Constant
D-1,2849,25,Variable
G-7,2446,25,Variable
F-1,2869,25,Variable
E-12,2880,25,Variable
A-2,2648,25,Variable
D-11,2611,25,Variable
