Channel,Time Steps,Features,Telemetry Mean,Telemetry Std,Mean Absolute Difference,Mean Rolling Std
E-13,2871,5,-0.6056676443669107,0.5413490699458661,0.06090535293605136,0.1960714224858241
T-9,430,5,0.2868262061360544,0.1760217142617529,0.03255811855254748,0.047282269818355795
E-11,2871,5,-0.5860174352763315,0.8098194585708878,0.05851619644723093,0.23158031751189104
E-3,2871,5,0.13479953643974418,0.41722269412343427,0.015255162282351228,0.047808296286659974
E-7,2760,5,-0.9700472341294142,0.04347525231101997,0.025029204939783625,0.032214718444453914
P-7,2844,5,0.004439912657290956,0.24059839967547872,0.035313397775985786,0.06439629097715283
D-15,2065,5,0.7814566612847383,0.6522376511886362,0.2661201824552126,0.4078150049456871
G-3,2615,5,0.9877629063097514,0.1559927766483278,0.0015296367112810705,0.006121090926971953
F-7,2502,5,-0.607671006052301,0.6114925271619758,0.29396482813749003,0.426231394620505
E-10,2871,5,-0.5862310188080488,0.8093986242370518,0.05900473397903603,0.23173054929394815
E-1,2871,5,-0.5855102751654476,0.8108062033919244,0.05851619644723092,0.2318884777767534
T-4,2263,5,-0.5231992929739284,0.49957189325816,0.0618647812638091,0.19135970494287088
D-16,1442,5,-0.5394278919705672,0.8267349413130517,0.2606835381665901,0.334421378011076
M-4,2067,5,0.6348523851123106,0.6531411297733248,0.06520694325743405,0.12614341465509046
G-1,2811,5,0.07744695271272099,0.4969833439902173,0.1109284731738068,0.14408720205213543
E-8,2871,5,-0.26151379973008465,0.5035138591387521,0.04093605485527018,0.12573182890720794
A-3,2727,5,0.04006573811541517,0.47080053829034496,0.08220325418579766,0.13265654099862
D-6,2585,5,-0.09888373610496128,0.44524489704654346,0.012616811540164528,0.039235359656815794
T-3,2867,5,0.9768032613083427,0.015531634186586788,0.0009656522813916027,0.0030238994873035704
E-9,2871,5,-0.10233359119529988,0.5204092604571269,0.03230018371995034,0.10810399858907249
A-9,753,5,0.2557940173865165,0.9613600604343312,0.002678103051344769,0.010695588582795797
G-6,2872,5,0.0034687234245257188,0.5760509417819925,0.0006944441813411723,0.002102995144865294
M-5,2023,5,-0.4900103012920395,0.6995815212469787,0.09567048115202557,0.2180262698333027
C-1,2149,5,-0.6816528966416916,0.3918583150689007,0.017901879406958504,0.058272719075265475
P-3,2846,5,-0.1391617495160934,0.2950548370391186,0.060826080837971766,0.0791242814923106
A-8,753,5,-0.2615649767345463,0.9657701655427133,0.002656208461935513,0.010628759632942634
M-7,1578,5,-0.9855252918858346,0.11753518218377527,0.011382014601443958,0.018807287895878735
T-13,1136,5,0.06129694701183207,0.5225669905252729,0.0017550285766522163,0.0062163089317830295
P-15,3673,5,0.9448235581539902,0.036015695621352976,0.0024896062126231362,0.005083794821097286
P-1,2863,5,-0.42672363198519064,0.40330085589831477,0.11742715936999175,0.24160668418784817
E-2,2871,5,-0.405035922882967,0.5517111165299258,0.048164488860104535,0.15683104426730646
M-3,2028,5,0.578283304407711,0.7283108036424567,0.04237629818641313,0.0963416890226537
E-5,2871,5,-0.5855102751654476,0.8108062033919244,0.05851619644723093,0.2318884777767534
T-8,739,5,-0.981679004484067,0.18820483011541156,0.036641991031866064,0.057936074832080076
A-7,2870,5,-0.31368981091198644,0.38850560637046005,0.12407863775755205,0.3186664160511126
M-2,2199,5,-0.8472605322494698,0.3403996519701962,0.018164481696111012,0.06645835492687385
F-3,2871,5,0.003097706815295385,0.5758717344109152,0.0006946856547413238,0.002103589069882437
P-11,3960,5,0.8473253043993817,0.1117871412905763,0.022499199899333366,0.03931863855839641
F-2,2852,5,-0.4543539555356487,0.1718842339859013,0.10634716558037141,0.13321733978587344
F-5,2589,5,-0.3680051357914744,0.9015919081596323,0.020588724498273252,0.07056562006622816
S-1,2809,5,-0.11533317778780813,0.45079194143779805,0.43232872117251714,0.41866296418701343
F-4,2235,5,-0.5982361042721854,0.38786850267312833,0.02130577601667362,0.06601502315905006
E-4,2871,5,-0.4215168818387689,0.44429323066644083,0.04369348543381067,0.12536552769614454
A-4,2681,5,0.07821448397626425,0.35369953201157905,0.13548500037185288,0.14093592220518583
T-1,2866,5,0.576083828164391,0.6084056958677805,0.044374231503093255,0.12417579312148853
P-2,2812,5,-0.9433779310700805,0.028371260408958644,0.018251912074195416,0.018672086106613823
M-1,2200,5,0.413642380277409,0.6930020010749433,0.04728948179805487,0.1838387724632699
T-2,2846,5,0.5785497654621489,0.6091404230746994,0.04484928075859549,0.12550959743601497
F-8,3333,5,-0.791153028346313,0.49398253923146884,0.13209147001656688,0.2523805069334942
T-10,416,5,-0.07655866407528644,0.5274339939742657,0.03196014750008023,0.09414455322597852
T-12,1136,5,-0.14020664208062947,0.4761504917010563,0.0050475981443991675,0.01846721256818978
A-6,673,5,-0.824141246394538,0.22738057011938326,0.016781749847042084,0.02568220262215159
D-1,2840,5,-0.7754543133802817,0.06348530501160704,0.011321786971830986,0.026162733341536928
G-7,2437,5,0.9841334974695665,0.17643493300051016,0.01969634796881411,0.038538649225209116
F-1,2860,5,-0.21856922742828822,0.21953023769581897,0.16248154748949223,0.20127444922603602
E-12,2871,5,-0.5855102751654476,0.8108062033919244,0.05851619644723093,0.23188847777675217
A-2,2639,5,0.01610499006717577,0.563802643858285,0.09496614501974816,0.17725737649251846
D-11,2602,5,-0.23870526945085038,0.5521951334618381,0.0007686395080707142,0.0030758364285226065
