channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
P-1,SMAP,Global Z-score,0.04032258064516129,0.006657789613848202,0.011428571428571429,0.01534691771988651,0.9933422103861518,7635,119,746,5
S-1,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,6883,0,448,0
E-1,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8008,0,508,0
E-2,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7134,0,1398,0
E-3,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,5094,0,3213,0
E-4,SMAP,Global Z-score,0.0,0.0,0.0,0.0005413208228076507,1.0,5539,3,2812,0
E-5,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7973,0,321,0
E-6,SMAP,Global Z-score,1.0,0.18181818181818182,0.3076923076923077,0.0,0.8181818181818182,8234,0,54,12
E-7,SMAP,Global Z-score,0.8666666666666667,0.1387900355871886,0.2392638036809816,0.000747291069871715,0.8612099644128114,8023,6,242,39
E-8,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7909,0,623,0
E-9,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7951,0,351,0
E-10,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8183,0,322,0
E-11,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8219,0,295,0
E-12,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7929,0,583,0
E-13,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8376,0,264,0
A-1,SMAP,Global Z-score,0.009837962962962963,1.0,0.019484240687679084,1.0,0.0,0,8555,0,85
D-1,SMAP,Global Z-score,0.9891378139850645,0.8941393065357471,0.9392425463336019,0.006095238095238095,0.10586069346425284,5218,32,345,2914
P-2,SMAP,Global Z-score,0.7530981887511916,0.6191222570532915,0.6795698924731183,0.03735756526756094,0.38087774294670845,6674,259,486,790
P-3,SMAP,Global Z-score,1.0,0.029191616766467067,0.05672727272727273,0.0,0.9708083832335329,7157,0,1297,39
D-3,SMAP,Global Z-score,0.9581451370069256,0.9713064713064713,0.9646809155676823,0.025913497390007457,0.028693528693528692,5225,139,94,3182
D-4,SMAP,Global Z-score,1.0,0.9966133004926109,0.9983037779491133,0.0,0.0033866995073891628,5225,0,11,3237
A-2,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7803,0,111,0
A-3,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8019,0,186,0
A-4,SMAP,Global Z-score,0.0,0.0,0.0,0.00012548625925461163,1.0,7968,1,111,0
G-1,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8348,0,121,0
D-5,SMAP,Global Z-score,0.006164742917103882,0.9215686274509803,0.01224755700325733,1.0,0.0784313725490196,0,7577,4,47
D-6,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7803,0,81,0
F-1,SMAP,Global Z-score,0.011976047904191617,0.019801980198019802,0.014925373134328358,0.01945066603795827,0.9801980198019802,8318,165,99,2
G-3,SMAP,Global Z-score,1.0,0.0196078431372549,0.038461538461538464,0.0,0.9803921568627451,7856,0,50,1
T-1,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7076,0,1536,0
T-2,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,6840,0,1785,0
F-2,SMAP,Global Z-score,0.40476190476190477,0.011498140006763611,0.02236106543900033,0.008819897689186805,0.9885018599932364,5619,50,2923,34
G-4,SMAP,Global Z-score,1.0,0.06451612903225806,0.12121212121212122,0.0,0.9354838709677419,7601,0,29,2
T-3,SMAP,Global Z-score,1.0,0.010869565217391304,0.021505376344086023,0.0,0.9891304347826086,8395,0,182,2
D-11,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,7370,0,61,0
G-6,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8539,0,101,0
G-7,SMAP,Global Z-score,0.6333333333333333,0.35447761194029853,0.45454545454545453,0.0070867156294291975,0.6455223880597015,7706,55,173,95
P-7,SMAP,Global Z-score,0.7368421052631579,0.008479709267110842,0.016766467065868262,0.000778816199376947,0.9915202907328892,6415,5,1637,14
R-1,SMAP,Global Z-score,0.011181667586968525,1.0,0.0221160409556314,1.0,0.0,0,7163,0,81
A-5,SMAP,Global Z-score,0.018922254216371864,0.9019607843137255,0.037066881547139406,0.513787160706592,0.09803921568627451,2257,2385,5,46
A-6,SMAP,Global Z-score,0.01664932362122789,0.7804878048780488,0.032603158430973,0.428377153218495,0.21951219512195122,2522,1890,9,32
A-7,SMAP,Global Z-score,0.0,0.0,0.0,0.002568218298555377,1.0,6214,16,2401,0
A-8,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,4569,0,3806,0
A-9,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,4569,0,3865,0
F-3,SMAP,Global Z-score,0.0,0.0,0.0,0.0,1.0,8335,0,41,0
M-1,MSL,Global Z-score,0.0,0.0,0.0,0.0,1.0,1136,0,1141,0
M-2,MSL,Global Z-score,0.774331550802139,0.6345311130587205,0.697495183044316,0.1857394366197183,0.3654688869412796,925,211,417,724
P-10,MSL,Global Z-score,0.06984553391537945,0.7938931297709924,0.12839506172839507,0.23203216619199196,0.20610687022900764,4584,1385,27,104
T-4,MSL,Global Z-score,1.0,0.057971014492753624,0.1095890410958904,0.0,0.9420289855072463,2148,0,65,4
F-7,MSL,Global Z-score,0.0,0.0,0.0,0.0,1.0,4631,0,423,0
M-3,MSL,Global Z-score,0.0,0.0,0.0,0.0,1.0,1876,0,251,0
M-4,MSL,Global Z-score,0.0,0.0,0.0,0.01846670397313934,1.0,1754,33,251,0
M-5,MSL,Global Z-score,0.0,0.0,0.0,0.0,1.0,2002,0,301,0
P-15,MSL,Global Z-score,0.007209062821833162,0.6666666666666666,0.014263881813550688,0.6800705467372135,0.3333333333333333,907,1928,7,14
C-1,MSL,Global Z-score,0.0,0.0,0.0,0.007684426229508197,1.0,1937,15,312,0
T-12,MSL,Global Z-score,0.0,0.0,0.0,0.0,1.0,2309,0,121,0
T-13,MSL,Global Z-score,0.0,0.0,0.0,0.0,1.0,2178,0,252,0
F-4,MSL,Global Z-score,0.09602649006622517,0.4084507042253521,0.1554959785522788,0.08146821844225605,0.5915492957746479,3078,273,42,29
F-5,MSL,Global Z-score,1.0,0.5496688741721855,0.7094017094017094,0.0,0.4503311258278146,3771,0,68,83
