channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
P-1,SMAP,Isolation Forest,0.06330067822155237,0.2237017310252996,0.0986784140969163,0.32060871808099045,0.7762982689747004,5268,2486,583,168
S-1,SMAP,Isolation Forest,0.1173323823109843,0.734375,0.2023370233702337,0.35958157780037775,0.265625,4408,2475,119,329
E-1,SMAP,Isolation Forest,0.1506631299734748,0.5590551181102362,0.23735896364396156,0.1999250749250749,0.4409448818897638,6407,1601,224,284
E-2,SMAP,Isolation Forest,0.19461749314727136,0.5586552217453505,0.2886712252818333,0.4530417717970283,0.4413447782546495,3902,3232,617,781
E-3,SMAP,Isolation Forest,0.3281890193936083,0.7478991596638656,0.4561936402467964,0.9656458578720063,0.25210084033613445,175,4919,810,2403
E-4,SMAP,Isolation Forest,0.24007078254030673,0.4342105263157895,0.30919220055710306,0.6974016600505233,0.5657894736842105,1677,3865,1591,1221
E-5,SMAP,Isolation Forest,0.03705917513448894,0.19314641744548286,0.062186559679037114,0.202056942179857,0.8068535825545171,6362,1611,259,62
E-6,SMAP,Isolation Forest,0.0065154440154440154,0.8181818181818182,0.012927938711994253,1.0,0.18181818181818182,0,8234,12,54
E-7,SMAP,Isolation Forest,0.048822123591669514,0.5088967971530249,0.08909657320872275,0.3469921534437663,0.49110320284697506,5243,2786,138,143
E-8,SMAP,Isolation Forest,0.11975745325922182,0.7608346709470305,0.20694171578258022,0.44051081046908586,0.2391653290529695,4425,3484,149,474
E-9,SMAP,Isolation Forest,0.07125103562551781,0.7350427350427351,0.1299093655589124,0.4229656646962646,0.26495726495726496,4588,3363,93,258
E-10,SMAP,Isolation Forest,0.14112050739957716,0.8291925465838509,0.24119241192411925,0.19858242698276915,0.17080745341614906,6558,1625,55,267
E-11,SMAP,Isolation Forest,0.13907985193019567,0.8915254237288136,0.24062214089661482,0.19807762501520867,0.10847457627118644,6591,1628,32,263
E-12,SMAP,Isolation Forest,0.053229665071770335,0.15265866209262435,0.07893569844789357,0.19964686593517467,0.8473413379073756,6346,1583,494,89
E-13,SMAP,Isolation Forest,0.028799019607843136,0.3560606060606061,0.05328798185941043,0.37846227316141356,0.6439393939393939,5206,3170,170,94
A-1,SMAP,Isolation Forest,0.009837962962962963,1.0,0.019484240687679084,1.0,0.0,0,8555,0,85
D-1,SMAP,Isolation Forest,0.4968162758192266,0.9815894446149126,0.6597236543617241,0.6171428571428571,0.01841055538508745,2010,3240,60,3199
P-2,SMAP,Isolation Forest,0.20442268737339636,0.9490595611285266,0.3363888888888889,0.6797922977066205,0.050940438871473356,2220,4713,65,1211
P-3,SMAP,Isolation Forest,0.3437328954570334,0.47005988023952094,0.39709136895352515,0.1675282939779237,0.5299401197604791,5958,1199,708,628
D-2,SMAP,Isolation Forest,0.4907504363001745,1.0,0.6583938187778038,1.0,0.0,0,4377,0,4218
D-3,SMAP,Isolation Forest,0.45068097399917456,1.0,0.6213371266002845,0.7444071588366891,0.0,1371,3993,0,3276
D-4,SMAP,Isolation Forest,0.41828718609143595,1.0,0.5898483610278762,0.8644976076555024,0.0,708,4517,0,3248
A-2,SMAP,Isolation Forest,0.0158311345646438,0.972972972972973,0.03115534400692341,0.8604382929642446,0.02702702702702703,1089,6714,3,108
A-3,SMAP,Isolation Forest,0.0226691042047532,1.0,0.044333214158026456,1.0,0.0,0,8019,0,186
A-4,SMAP,Isolation Forest,0.01408987052551409,1.0,0.027788208787082238,0.9746517756305685,0.0,202,7767,0,111
G-1,SMAP,Isolation Forest,0.018733850129198967,0.71900826446281,0.03651626442812172,0.5458792525155726,0.2809917355371901,3791,4557,34,87
G-2,SMAP,Isolation Forest,0.005569895394647467,1.0,0.011078087003512564,1.0,0.0,0,7320,0,41
D-5,SMAP,Isolation Forest,0.006685894074462507,1.0,0.01328297955462951,1.0,0.0,0,7577,0,51
D-6,SMAP,Isolation Forest,0.010273972602739725,1.0,0.020338983050847456,1.0,0.0,0,7803,0,81
D-7,SMAP,Isolation Forest,0.35357236325569225,1.0,0.5224284609435421,1.0,0.0,0,4940,0,2702
F-1,SMAP,Isolation Forest,0.010958904109589041,0.3564356435643564,0.021264028352037802,0.3830012967110692,0.6435643564356436,5234,3249,65,36
P-4,SMAP,Isolation Forest,0.0569189258640627,1.0,0.10770726963287139,1.0,0.0,0,7340,0,443
G-3,SMAP,Isolation Forest,0.5,0.0196078431372549,0.03773584905660377,0.00012729124236252545,0.9803921568627451,7855,1,50,1
T-1,SMAP,Isolation Forest,0.08978229779119656,0.3678385416666667,0.14433516413335037,0.8094968908988129,0.6321614583333334,1348,5728,971,565
T-2,SMAP,Isolation Forest,0.1209557732264767,0.4565826330532213,0.1912472134225038,0.8659356725146199,0.5434173669467787,917,5923,970,815
D-8,SMAP,Isolation Forest,0.006477012954025908,1.0,0.012870662460567823,1.0,0.0,0,7823,0,51
D-9,SMAP,Isolation Forest,0.15608965703483663,1.0,0.27003036673674374,1.0,0.0,0,6250,0,1156
F-2,SMAP,Isolation Forest,0.40713224368499257,0.8339533310787961,0.5471488795207455,0.6334450520373963,0.16604666892120393,2078,3591,491,2466
G-4,SMAP,Isolation Forest,0.0030911901081916537,0.1935483870967742,0.006085192697768763,0.2545717668727799,0.8064516129032258,5666,1935,25,6
T-3,SMAP,Isolation Forest,0.020608439646712464,0.7989130434782609,0.04018040180401804,0.8321620011911852,0.20108695652173914,1409,6986,37,147
D-11,SMAP,Isolation Forest,0.005085934759733427,0.47540983606557374,0.01006420267221933,0.769742198100407,0.5245901639344263,1697,5673,32,29
D-12,SMAP,Isolation Forest,0.3460469815610003,1.0,0.5141677613060611,1.0,0.0,0,5178,0,2740
B-1,SMAP,Isolation Forest,0.008826454500248633,1.0,0.01749845964263709,1.0,0.0,0,7973,0,71
G-6,SMAP,Isolation Forest,0.012294583079732198,1.0,0.02429052429052429,0.9502283639770465,0.0,425,8114,0,101
G-7,SMAP,Isolation Forest,0.632258064516129,0.3656716417910448,0.46335697399527187,0.007344414379590259,0.6343283582089553,7704,57,170,98
P-7,SMAP,Isolation Forest,0.261249678580612,0.6153846153846154,0.3667870036101083,0.44750778816199377,0.38461538461538464,3547,2873,635,1016
R-1,SMAP,Isolation Forest,0.011181667586968525,1.0,0.0221160409556314,1.0,0.0,0,7163,0,81
A-5,SMAP,Isolation Forest,0.010867249094395908,1.0,0.021500843170320406,1.0,0.0,0,4642,0,51
A-6,SMAP,Isolation Forest,0.008093525179856115,0.8780487804878049,0.01603920695032301,1.0,0.12195121951219512,0,4412,5,36
A-7,SMAP,Isolation Forest,0.10679611650485436,0.11911703456892961,0.11262059460523725,0.38394863563402887,0.8808829654310704,3838,2392,2115,286
D-13,SMAP,Isolation Forest,0.021010048283961896,1.0,0.04115541922290389,1.0,0.0,0,7502,0,161
A-8,SMAP,Isolation Forest,0.45444776119402985,1.0,0.6249076430506526,1.0,0.0,0,4569,0,3806
A-9,SMAP,Isolation Forest,0.4582641688404079,1.0,0.6285063826327344,1.0,0.0,0,4569,0,3865
F-3,SMAP,Isolation Forest,0.004917387883556255,0.6097560975609756,0.00975609756097561,0.6069586082783444,0.3902439024390244,3276,5059,16,25
M-6,MSL,Isolation Forest,0.08833577354807223,1.0,0.16233183856502242,1.0,0.0,0,1868,0,181
M-1,MSL,Isolation Forest,0.4844984802431611,0.6985100788781771,0.5721464465183058,0.7464788732394366,0.30148992112182293,288,848,344,797
M-2,MSL,Isolation Forest,0.6220213640098603,0.663453111305872,0.642069550466497,0.40492957746478875,0.33654688869412797,676,460,384,757
S-2,MSL,Isolation Forest,0.0060207991242474,1.0,0.011969532100108813,1.0,0.0,0,1816,0,11
P-10,MSL,Isolation Forest,0.05593308938839519,0.816793893129771,0.10469667318982387,0.3025632434243592,0.183206106870229,4163,1806,24,107
T-4,MSL,Isolation Forest,0.03112313937753721,1.0,0.06036745406824147,1.0,0.0,0,2148,0,69
T-5,MSL,Isolation Forest,0.011722272317403066,1.0,0.023172905525846704,1.0,0.0,0,2192,0,26
F-7,MSL,Isolation Forest,0.14126061689763075,0.7470449172576832,0.23759398496240602,0.4148132152882747,0.25295508274231676,2710,1921,107,316
M-3,MSL,Isolation Forest,0.1598360655737705,0.7768924302788844,0.26512576478586,0.5463752665245203,0.22310756972111553,851,1025,56,195
M-4,MSL,Isolation Forest,0.20432043204320433,0.9043824701195219,0.3333333333333333,0.49468382764409624,0.09561752988047809,903,884,24,227
M-5,MSL,Isolation Forest,0.2,0.8172757475083057,0.32135858915741344,0.4915084915084915,0.18272425249169436,1018,984,55,246
P-15,MSL,Isolation Forest,0.008108108108108109,1.0,0.0160857908847185,0.9061728395061729,0.0,266,2569,0,21
C-1,MSL,Isolation Forest,0.1712707182320442,0.3974358974358974,0.23938223938223938,0.3073770491803279,0.6025641025641025,1352,600,188,124
C-2,MSL,Isolation Forest,0.06679668454412482,1.0,0.12522851919561243,1.0,0.0,0,1914,0,137
