channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
P-1,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.006489292667099286,1.0,7655,50,751,0
S-1,SMAP,LSTM Autoencoder,0.956953642384106,0.6450892857142857,0.7706666666666667,0.0019022534386889084,0.3549107142857143,6821,13,159,289
E-1,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.015077271013946476,1.0,7839,120,508,0
E-2,SMAP,LSTM Autoencoder,1.0,0.1630901287553648,0.28044280442804426,0.0,0.8369098712446352,7085,0,1170,228
E-3,SMAP,LSTM Autoencoder,1.0,0.007469654528478058,0.014828544949026877,0.0,0.992530345471522,5045,0,3189,24
E-4,SMAP,LSTM Autoencoder,0.05894736842105263,0.00995732574679943,0.017036811682385154,0.08137629710540688,0.9900426742532006,5046,447,2784,28
E-5,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,7924,0,321,0
E-6,SMAP,LSTM Autoencoder,0.1346578366445916,0.9242424242424242,0.2350674373795761,0.047892486255345146,0.07575757575757576,7793,392,5,61
E-7,SMAP,LSTM Autoencoder,0.6895306859205776,0.6797153024911032,0.6845878136200717,0.010776942355889725,0.3202846975088968,7894,86,90,191
E-8,SMAP,LSTM Autoencoder,1.0,0.3402889245585875,0.5077844311377245,0.0,0.6597110754414125,7860,0,411,212
E-9,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,7902,0,351,0
E-10,SMAP,LSTM Autoencoder,0.6935483870967742,0.8012422360248447,0.7435158501440923,0.014015244652077699,0.19875776397515527,8020,114,64,258
E-11,SMAP,LSTM Autoencoder,0.6864406779661016,0.823728813559322,0.74884437596302,0.013586291309669523,0.17627118644067796,8059,111,52,243
E-12,SMAP,LSTM Autoencoder,0.1652892561983471,0.03430531732418525,0.056818181818181816,0.012817258883248731,0.9656946826758147,7779,101,563,20
E-13,SMAP,LSTM Autoencoder,0.14285714285714285,0.15151515151515152,0.14705882352941177,0.028821904647532124,0.8484848484848485,8087,240,224,40
A-1,SMAP,LSTM Autoencoder,0.009894075194971482,1.0,0.019594283079760258,1.0,0.0,0,8506,0,85
D-1,SMAP,LSTM Autoencoder,1.0,0.8904571954587297,0.9420548612238273,0.0,0.10954280454127033,5201,0,357,2902
P-2,SMAP,LSTM Autoencoder,1.0,0.8463949843260188,0.9168081494057725,0.0,0.1536050156739812,6884,0,196,1080
