channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
P-1,SMAP,One-Class SVM,0.054502369668246446,0.03062583222370173,0.0392156862745098,0.05145731235491359,0.9693741677762983,7355,399,728,23
S-1,SMAP,One-Class SVM,0.22843450479233227,0.6383928571428571,0.33647058823529413,0.1403457794566323,0.36160714285714285,5917,966,162,286
E-1,SMAP,One-Class SVM,0.05965241897604509,1.0,0.1125886524822695,1.0,0.0,0,8008,0,508
E-2,SMAP,One-Class SVM,0.07160096540627514,0.06366237482117311,0.06739871260886028,0.16176058312307262,0.9363376251788269,5980,1154,1309,89
E-3,SMAP,One-Class SVM,0.6440933032355154,0.26641767818238404,0.3769264641127257,0.09285433843737731,0.733582321817616,4621,473,2357,856
E-4,SMAP,One-Class SVM,0.400990099009901,0.057610241820768134,0.10074626865671642,0.04366654637315049,0.9423897581792319,5300,242,2650,162
E-5,SMAP,One-Class SVM,0.03870267663371112,1.0,0.07452118398142774,1.0,0.0,0,7973,0,321
E-6,SMAP,One-Class SVM,0.007321453239397707,0.803030303030303,0.014510609171800137,0.8727228564488705,0.19696969696969696,1048,7186,13,53
E-7,SMAP,One-Class SVM,0.15760869565217392,0.20640569395017794,0.17873651771956856,0.03861003861003861,0.7935943060498221,7719,310,223,58
E-8,SMAP,One-Class SVM,0.11788154897494305,0.33226324237560195,0.17402269861286254,0.19585282589455053,0.6677367576243981,6360,1549,416,207
E-9,SMAP,One-Class SVM,0.014990630855715179,0.06837606837606838,0.02459016393442623,0.1983398314677399,0.9316239316239316,6374,1577,327,24
E-10,SMAP,One-Class SVM,0.0,0.0,0.0,0.0007332274227056092,1.0,8177,6,322,0
E-11,SMAP,One-Class SVM,0.008264462809917356,0.013559322033898305,0.010269576379974325,0.05840126536074948,0.9864406779661017,7739,480,291,4
E-12,SMAP,One-Class SVM,0.06849154135338346,1.0,0.12820230896096757,1.0,0.0,0,7929,0,583
E-13,SMAP,One-Class SVM,0.026833631484794274,0.11363636363636363,0.04341534008683068,0.12989493791786055,0.8863636363636364,7288,1088,234,30
A-1,SMAP,One-Class SVM,0.009837962962962963,1.0,0.019484240687679084,1.0,0.0,0,8555,0,85
D-1,SMAP,One-Class SVM,0.4715422276621787,0.945688861613992,0.6293006636038795,0.6579047619047619,0.05431113838600798,1796,3454,177,3082
P-2,SMAP,One-Class SVM,0.3646604441583521,0.8879310344827587,0.5169974903034451,0.28472522717438337,0.11206896551724138,4959,1974,143,1133
P-3,SMAP,One-Class SVM,0.9893238434163701,0.20808383233532934,0.3438466295609153,0.0004191700433142378,0.7919161676646707,7154,3,1058,278
D-2,SMAP,One-Class SVM,0.4907504363001745,1.0,0.6583938187778038,1.0,0.0,0,4377,0,4218
D-3,SMAP,One-Class SVM,0.8430262480699948,1.0,0.9148282602624965,0.11372110365398956,0.0,4754,610,0,3276
D-4,SMAP,One-Class SVM,0.6852320675105485,1.0,0.8132198297446169,0.2855502392344498,0.0,3733,1492,0,3248
A-2,SMAP,One-Class SVM,0.0,0.0,0.0,0.3144944252210688,1.0,5349,2454,111,0
A-3,SMAP,One-Class SVM,0.011636363636363636,0.17204301075268819,0.021798365122615803,0.3389450056116723,0.8279569892473119,5301,2718,154,32
A-4,SMAP,One-Class SVM,0.0,0.0,0.0,0.13452126992094365,1.0,6897,1072,111,0
G-1,SMAP,One-Class SVM,0.0026954177897574125,0.008264462809917356,0.0040650406504065045,0.04432199329180642,0.9917355371900827,7978,370,120,1
G-2,SMAP,One-Class SVM,0.005569895394647467,1.0,0.011078087003512564,1.0,0.0,0,7320,0,41
D-5,SMAP,One-Class SVM,0.006685894074462507,1.0,0.01328297955462951,1.0,0.0,0,7577,0,51
D-6,SMAP,One-Class SVM,0.010273972602739725,1.0,0.020338983050847456,1.0,0.0,0,7803,0,81
D-7,SMAP,One-Class SVM,0.35357236325569225,1.0,0.5224284609435421,1.0,0.0,0,4940,0,2702
F-1,SMAP,One-Class SVM,0.012658227848101266,0.1782178217821782,0.023637557452396585,0.165507485559354,0.8217821782178217,7079,1404,83,18
P-4,SMAP,One-Class SVM,0.0569189258640627,1.0,0.10770726963287139,1.0,0.0,0,7340,0,443
G-3,SMAP,One-Class SVM,0.006449981029467561,1.0,0.012817290776577029,1.0,0.0,0,7856,0,51
T-1,SMAP,One-Class SVM,0.16733067729083664,0.02734375,0.047006155567991044,0.029536461277557942,0.97265625,6867,209,1494,42
T-2,SMAP,One-Class SVM,0.18907563025210083,0.025210084033613446,0.044488383588729606,0.028216374269005848,0.9747899159663865,6647,193,1740,45
D-8,SMAP,One-Class SVM,0.006477012954025908,1.0,0.012870662460567823,1.0,0.0,0,7823,0,51
D-9,SMAP,One-Class SVM,0.15608965703483663,1.0,0.27003036673674374,1.0,0.0,0,6250,0,1156
F-2,SMAP,One-Class SVM,0.48225516621743036,0.7260737233682787,0.5795653934404104,0.40659728347151175,0.27392627663172137,3364,2305,810,2147
G-4,SMAP,One-Class SVM,1.0,0.06451612903225806,0.12121212121212122,0.0,0.9354838709677419,7601,0,29,2
T-3,SMAP,One-Class SVM,0.019430051813471502,0.16304347826086957,0.034722222222222224,0.1803454437164979,0.8369565217391305,6881,1514,154,30
D-11,SMAP,One-Class SVM,0.0,0.0,0.0,0.0,1.0,7370,0,61,0
D-12,SMAP,One-Class SVM,0.3460469815610003,1.0,0.5141677613060611,1.0,0.0,0,5178,0,2740
B-1,SMAP,One-Class SVM,0.008826454500248633,1.0,0.01749845964263709,1.0,0.0,0,7973,0,71
G-6,SMAP,One-Class SVM,0.150074294205052,1.0,0.26098191214470284,0.06698676660030449,0.0,7967,572,0,101
G-7,SMAP,One-Class SVM,0.632258064516129,0.3656716417910448,0.46335697399527187,0.007344414379590259,0.6343283582089553,7704,57,170,98
P-7,SMAP,One-Class SVM,0.3762135922330097,0.37552998182919445,0.37587147620491057,0.1601246105919003,0.6244700181708056,5392,1028,1031,620
R-1,SMAP,One-Class SVM,0.011181667586968525,1.0,0.0221160409556314,1.0,0.0,0,7163,0,81
A-5,SMAP,One-Class SVM,0.018922254216371864,0.9019607843137255,0.037066881547139406,0.513787160706592,0.09803921568627451,2257,2385,5,46
A-6,SMAP,One-Class SVM,0.008762075937991463,0.9512195121951219,0.017364203027604632,1.0,0.04878048780487805,0,4412,2,39
A-7,SMAP,One-Class SVM,0.14309484193011648,0.03581840899625156,0.05729513657561625,0.0826645264847512,0.9641815910037485,5715,515,2315,86
D-13,SMAP,One-Class SVM,0.021010048283961896,1.0,0.04115541922290389,1.0,0.0,0,7502,0,161
A-8,SMAP,One-Class SVM,0.3551095929405067,0.6555438780872307,0.46067208271787297,0.9916830816371197,0.3444561219127693,38,4531,1311,2495
A-9,SMAP,One-Class SVM,0.3824408806740962,0.7280724450194049,0.5014701951349907,0.9945283431823156,0.27192755498059507,25,4544,1051,2814
F-3,SMAP,One-Class SVM,0.0,0.0,0.0,0.05050989802039592,1.0,7914,421,41,0
M-6,MSL,One-Class SVM,0.08833577354807223,1.0,0.16233183856502242,1.0,0.0,0,1868,0,181
M-1,MSL,One-Class SVM,0.4692874692874693,0.5021910604732691,0.48518204911092294,0.5704225352112676,0.49780893952673094,488,648,568,573
M-2,MSL,One-Class SVM,0.8074745186862967,0.6248904469763366,0.7045454545454546,0.14964788732394366,0.37510955302366344,966,170,428,713
S-2,MSL,One-Class SVM,0.0060207991242474,1.0,0.011969532100108813,1.0,0.0,0,1816,0,11
P-10,MSL,One-Class SVM,0.03811129848229342,0.8625954198473282,0.07299741602067183,0.4778019768805495,0.13740458015267176,3117,2852,18,113
T-4,MSL,One-Class SVM,0.03112313937753721,1.0,0.06036745406824147,1.0,0.0,0,2148,0,69
T-5,MSL,One-Class SVM,0.011722272317403066,1.0,0.023172905525846704,1.0,0.0,0,2192,0,26
F-7,MSL,One-Class SVM,0.3192019950124688,0.30260047281323876,0.3106796116504854,0.05895055063701145,0.6973995271867612,4358,273,295,128
M-3,MSL,One-Class SVM,0.07197549770290965,0.18725099601593626,0.10398230088495575,0.3230277185501066,0.8127490039840638,1270,606,204,47
M-4,MSL,One-Class SVM,0.1070110701107011,0.3466135458167331,0.16353383458646617,0.4062674874090655,0.6533864541832669,1061,726,164,87
M-5,MSL,One-Class SVM,0.21256038647342995,0.1461794019933555,0.1732283464566929,0.08141858141858142,0.8538205980066446,1839,163,257,44
P-15,MSL,One-Class SVM,0.006381039197812215,0.6666666666666666,0.012641083521444696,0.7689594356261023,0.3333333333333333,655,2180,7,14
C-1,MSL,One-Class SVM,0.18972332015810275,0.15384615384615385,0.16991150442477876,0.10502049180327869,0.8461538461538461,1747,205,264,48
C-2,MSL,One-Class SVM,0.06679668454412482,1.0,0.12522851919561243,1.0,0.0,0,1914,0,137
T-12,MSL,One-Class SVM,0.0,0.0,0.0,0.09571242962321351,1.0,2088,221,121,0
T-13,MSL,One-Class SVM,0.22302158273381295,0.49206349206349204,0.3069306930693069,0.19834710743801653,0.5079365079365079,1746,432,128,124
F-4,MSL,One-Class SVM,0.0741687979539642,0.4084507042253521,0.12554112554112554,0.10802745449119666,0.5915492957746479,2989,362,42,29
F-5,MSL,One-Class SVM,0.2028985507246377,0.5562913907284768,0.2973451327433628,0.08750994431185362,0.44370860927152317,3441,330,67,84
