channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
P-1,SMAP,Rolling Z-score,0.1871345029239766,0.0426098535286285,0.06941431670281996,0.017926231622388444,0.9573901464713716,7615,139,719,32
S-1,SMAP,Rolling Z-score,0.075,0.026785714285714284,0.039473684210526314,0.02150225192503269,0.9732142857142857,6735,148,436,12
E-1,SMAP,Rolling Z-score,0.06779661016949153,0.03937007874015748,0.049813200498132,0.034340659340659344,0.9606299212598425,7733,275,488,20
E-2,SMAP,Rolling Z-score,0.1456953642384106,0.04721030042918455,0.0713128038897893,0.05424726661059714,0.9527896995708155,6747,387,1332,66
E-3,SMAP,Rolling Z-score,0.3974358974358974,0.028944911297852476,0.053959965187119235,0.02767962308598351,0.9710550887021475,4953,141,3120,93
E-4,SMAP,Rolling Z-score,0.3148148148148148,0.05440967283072546,0.09278350515463918,0.06008661133164923,0.9455903271692745,5209,333,2659,153
E-5,SMAP,Rolling Z-score,0.041811846689895474,0.037383177570093455,0.039473684210526314,0.034491408503699986,0.9626168224299065,7698,275,309,12
E-6,SMAP,Rolling Z-score,0.015625,0.07575757575757576,0.025906735751295335,0.038256011658974985,0.9242424242424242,7919,315,61,5
E-7,SMAP,Rolling Z-score,0.10891089108910891,0.03914590747330961,0.05759162303664921,0.011209366048075726,0.9608540925266904,7939,90,270,11
E-8,SMAP,Rolling Z-score,0.04150943396226415,0.03531300160513644,0.03816131830008673,0.06423062334049817,0.9646869983948636,7401,508,601,22
E-9,SMAP,Rolling Z-score,0.04314720812182741,0.04843304843304843,0.04563758389261745,0.04741541944409508,0.9515669515669516,7574,377,334,17
E-10,SMAP,Rolling Z-score,0.046822742474916385,0.043478260869565216,0.04508856682769726,0.034828302578516435,0.9565217391304348,7898,285,308,14
E-11,SMAP,Rolling Z-score,0.06129032258064516,0.06440677966101695,0.0628099173553719,0.03540576712495437,0.9355932203389831,7928,291,276,19
E-12,SMAP,Rolling Z-score,0.08278145695364239,0.04288164665523156,0.05649717514124294,0.03493504855593391,0.9571183533447685,7652,277,558,25
E-13,SMAP,Rolling Z-score,0.04842105263157895,0.08712121212121213,0.06224627875507442,0.05396370582617001,0.9128787878787878,7924,452,241,23
A-1,SMAP,Rolling Z-score,1.0,0.011764705882352941,0.023255813953488372,0.0,0.9882352941176471,8555,0,84,1
D-1,SMAP,Rolling Z-score,0.4426229508196721,0.03313899969315741,0.06166143305737939,0.025904761904761906,0.9668610003068426,5114,136,3151,108
P-2,SMAP,Rolling Z-score,0.02830188679245283,0.004702194357366771,0.008064516129032258,0.029712966969565845,0.9952978056426333,6727,206,1270,6
P-3,SMAP,Rolling Z-score,0.09732360097323602,0.029940119760479042,0.04579278763594734,0.05183736202319408,0.9700598802395209,6786,371,1296,40
D-2,SMAP,Rolling Z-score,1.0,0.002370791844476055,0.004730368968779565,0.0,0.9976292081555239,4377,0,4208,10
D-3,SMAP,Rolling Z-score,0.7659574468085106,0.02197802197802198,0.042729970326409496,0.004101416853094705,0.978021978021978,5342,22,3204,72
D-4,SMAP,Rolling Z-score,0.44166666666666665,0.016317733990147784,0.03147268408551069,0.012822966507177033,0.9836822660098522,5158,67,3195,53
A-2,SMAP,Rolling Z-score,0.03821656050955414,0.05405405405405406,0.04477611940298507,0.019351531462258105,0.9459459459459459,7652,151,105,6
A-3,SMAP,Rolling Z-score,0.075,0.03225806451612903,0.045112781954887216,0.009228083302157377,0.967741935483871,7945,74,180,6
A-4,SMAP,Rolling Z-score,0.020833333333333332,0.02702702702702703,0.023529411764705882,0.01769356255490024,0.972972972972973,7828,141,108,3
G-1,SMAP,Rolling Z-score,0.014634146341463415,0.024793388429752067,0.018404907975460124,0.024197412553905128,0.9752066115702479,8146,202,118,3
G-2,SMAP,Rolling Z-score,1.0,0.024390243902439025,0.047619047619047616,0.0,0.975609756097561,7320,0,40,1
D-5,SMAP,Rolling Z-score,0.011111111111111112,0.13725490196078433,0.020558002936857563,0.08222251550745678,0.8627450980392157,6954,623,44,7
D-6,SMAP,Rolling Z-score,0.012755102040816327,0.06172839506172839,0.021141649048625793,0.049596309111880045,0.9382716049382716,7416,387,76,5
